"","Year","RLR","Quality","NUll","id","lat","lon","name","coastline_code","station_code","quality","NAP"
"1",1848,6670,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-105
"2",1849,6666,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-109
"3",1850,6707,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-68
"4",1851,6695,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-80
"5",1852,6711,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-64
"6",1853,6660,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-115
"7",1854,6711,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-64
"8",1855,6660,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-115
"9",1856,6677,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-98
"10",1857,6592,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-183
"11",1858,6597,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-178
"12",1859,6700,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-75
"13",1860,6752,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-23
"14",1861,6717,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-58
"15",1862,6711,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-64
"16",1863,6720,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-55
"17",1864,6643,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-132
"18",1865,6660,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-115
"19",1866,6791,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",16
"20",1867,6836,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",61
"21",1868,6759,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-16
"22",1869,6784,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",9
"23",1870,6699,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-76
"24",1871,6730,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-45
"25",1872,6740,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-35
"26",1873,6711,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-64
"27",1874,6677,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-98
"28",1875,6595,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-180
"29",1876,6696,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-79
"30",1877,6778,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",3
"31",1878,6806,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",31
"32",1879,6713,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-62
"33",1880,6716,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-59
"34",1881,6681,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-94
"35",1882,6719,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-56
"36",1883,6724,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-51
"37",1884,6685,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-90
"38",1885,6684,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-91
"39",1886,6683,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-92
"40",1887,6671,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-104
"41",1888,6708,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-67
"42",1889,6743,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-32
"43",1890,6723,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-52
"44",1891,6707,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-68
"45",1892,6724,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-51
"46",1893,6738,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-37
"47",1894,6737,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-38
"48",1895,6701,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-74
"49",1896,6728,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-47
"50",1897,6760,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-15
"51",1898,6786,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",11
"52",1899,6782,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",7
"53",1900,6734,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-41
"54",1901,6745,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-30
"55",1902,6737,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-38
"56",1903,6811,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",36
"57",1904,6761,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-14
"58",1905,6749,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-26
"59",1906,6782,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",7
"60",1907,6730,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-45
"61",1908,6720,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-55
"62",1909,6765,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-10
"63",1910,6833,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",58
"64",1911,6774,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-1
"65",1912,6832,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",57
"66",1913,6819,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",44
"67",1914,6863,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",88
"68",1915,6814,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",39
"69",1916,6864,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",89
"70",1917,6805,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",30
"71",1918,6806,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",31
"72",1919,6819,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",44
"73",1920,6770,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-5
"74",1921,6735,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-40
"75",1922,6777,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",2
"76",1923,6792,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",17
"77",1924,6801,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",26
"78",1925,6823,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",48
"79",1926,6850,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",75
"80",1927,6813,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",38
"81",1928,6800,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",25
"82",1929,6745,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-30
"83",1930,6813,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",38
"84",1931,6835,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",60
"85",1932,6786,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",11
"86",1933,6728,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-47
"87",1934,6741,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-34
"88",1935,6807,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",32
"89",1936,6818,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",43
"90",1937,6827,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",52
"91",1938,6788,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",13
"92",1939,6818,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",43
"93",1940,6825,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",50
"94",1941,6800,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",25
"95",1942,6772,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-3
"96",1943,6801,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",26
"97",1944,6838,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",63
"98",1945,6852,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",77
"99",1946,6851,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",76
"100",1947,6770,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-5
"101",1948,6851,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",76
"102",1949,6833,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",58
"103",1950,6863,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",88
"104",1951,6839,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",64
"105",1952,6887,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",112
"106",1953,6804,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",29
"107",1954,6823,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",48
"108",1955,6879,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",104
"109",1956,6807,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",32
"110",1957,6818,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",43
"111",1958,6844,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",69
"112",1959,6764,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",-11
"113",1960,6850,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",75
"114",1961,6896,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",121
"115",1962,6847,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",72
"116",1963,6798,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",23
"117",1964,6798,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",23
"118",1965,6915,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",140
"119",1966,6950,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",175
"120",1967,6916,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",141
"121",1968,6841,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",66
"122",1969,6807,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",32
"123",1970,6874,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",99
"124",1971,6851,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",76
"125",1972,6820,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",45
"126",1973,6878,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",103
"127",1974,6899,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",124
"128",1975,6857,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",82
"129",1976,6813,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",38
"130",1977,6875,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",100
"131",1978,6882,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",107
"132",1979,6888,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",113
"133",1980,6900,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",125
"134",1981,6933,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",158
"135",1982,6919,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",144
"136",1983,6934,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",159
"137",1984,6897,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",122
"138",1985,6892,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",117
"139",1986,6911,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",136
"140",1987,6925,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",150
"141",1988,6975,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",200
"142",1989,6930,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",155
"143",1990,6947,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",172
"144",1991,6854,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",79
"145",1992,6906,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",131
"146",1993,6909,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",134
"147",1994,6947,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",172
"148",1995,6954,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",179
"149",1996,6837,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",62
"150",1997,6867,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",92
"151",1998,6939,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",164
"152",1999,6945,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",170
"153",2000,6938,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",163
"154",2001,6958,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",183
"155",2002,6943,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",168
"156",2003,6907,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",132
"157",2004,6938,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",163
"158",2005,6923,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",124
"159",2006,6928,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",129
"160",2007,6983,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",184
"161",2008,6954,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",155
"162",2009,6926,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",127
"163",2010,6942,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",143
"164",2011,6938,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",139
"165",2012,6944,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",145
"166",2013,6929,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",130
"167",2014,6957,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",158
"168",2015,6967,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",168
"169",2016,6972,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",173
"170",2017,6989,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",190
"171",2018,6929,"N",0,9,51.9175,4.249722,"MAASSLUIS",150,61,"N",130
"172",1862,6788,"N",0,20,51.442222,3.596111,"VLISSINGEN",150,101,"N",-112
"173",1863,6769,"N",0,20,51.442222,3.596111,"VLISSINGEN",150,101,"N",-131
"174",1864,6734,"N",0,20,51.442222,3.596111,"VLISSINGEN",150,101,"N",-166
"175",1865,6763,"N",0,20,51.442222,3.596111,"VLISSINGEN",150,101,"N",-137
"176",1866,6835,"N",0,20,51.442222,3.596111,"VLISSINGEN",150,101,"N",-65
"177",1867,6834,"N",0,20,51.442222,3.596111,"VLISSINGEN",150,101,"N",-66
